ref;traduction;code;paragraphe;nb_mots;mots
Apocalypse 1:1;SKN;53-0325;31;5;ange arriver bientot donnee montrer
Matthieu 3:16;SKN;53-0325;31;6;ayant baptise cieux colombe descendre vit
Galates 4:27;SKN;53-0325;31;5;cris ecrit joie nes pousse
Apocalypse 5:9;SKN;53-0325;31;4;immole nation ouvrir tribu
Hebreux 9:11-14;SKN;53-0325;31;4;biens etant parfait tabernacle
Genese 1:28;SKN;53-0325;31;4;benit cieux oiseaux vivant
Apocalypse 6:12;SKN;53-0325;31;5;devint fit poil sceau soleil
Actes 20:24;SKN;53-0325;31;5;aucun cas course rendre temoignage
Luc 1:17;SKN;53-0325;31;4;curs justes peres retourner
Luc 10:1;SKN;53-0325;31;4;devait envoya face lieux
Jean 5:39;SKN;53-0325;31;4;estimez eternelle sondez temoignage
Marc 13:27;SKN;53-0325;31;4;anges bout elus vents
Nombres 19:9;SKN;53-0325;31;4;eau genisse hors pur
Hebreux 4:14;SKN;53-0325;31;4;ayant cieux ferme tenons
Genese 14:18;SKN;53-0325;31;5;apporter fit pain roi vin
Apocalypse 1:20;SKN;53-0325;31;5;anges droite etoiles lampes sept
Jean 5:24;SKN;53-0326;125;4;croit entend envoye eternelle
Matthieu 16:18;SKN;53-0326;178;4;batirai portes prevaudront roc
Jean 5:24;SKN;53-0327;20;4;croit envoye eternelle jugement
Actes 2:38;SKN;53-0327;186;4;don peches recevrez repentez
Jean 3:16;SKN;53-0327;209;5;croit eternelle perisse quiconque unique
Actes 2:38;SKN;53-0328;108;5;baptise don peches recevrez repentez
Genese 3:1;SKN;53-0328;169;4;champs jardin ruse serpent
Jean 3:14;SKN;53-0328;180;4;desert eleva eleve serpent
Esaie 53:5;SKN;53-0403;157;5;blesse chatiment gueris meurtrissures paix
Esaie 53:5;SKN;53-0403;219;4;blesse chatiment iniquites paix
Actes 1:8;SKN;53-0405E;27;6;jerusalem judee recevrez samarie serez temoins
Apocalypse 5:9;SKN;53-0405E;41;5;den digne immole ouvrir sceaux
Actes 1:8;SKN;53-0405E;44;4;jerusalem judee samarie temoins
Actes 1:8;SKN;53-0405E;145;5;jerusalem judee samarie serez temoins
Actes 1:8;SKN;53-0405E;232;4;jerusalem judee samarie temoins
Actes 1:8;SKN;53-0405E;241;5;jerusalem judee recevrez serez temoins
Jean 5:24;SKN;53-0405S;115;4;croit entend envoye eternelle
Actes 1:8;SKN;53-0405S;182;5;jerusalem judee samarie serez temoins
Apocalypse 5:9;SKN;53-0506;8;5;den digne immole ouvrir sceaux
Apocalypse 6:1;SKN;53-0506;8;4;lagneau sceaux sept viens
Jean 5:7;SKN;53-0506;10;4;leau nai repondit viens
Esaie 53:5;SKN;53-0506;12;6;blesse chatiment gueris iniquites meurtrissures paix
Actes 20:24;SKN;53-0507;39;4;cas levangile pourvu temoignage
Actes 1:8;SKN;53-0508;1;6;jerusalem judee recevrez samarie serez temoins
Jean 5:39;SKN;53-0508;2;4;eternelle rendent sondez temoignage
Actes 1:8;SKN;53-0508;21;6;jerusalem judee recevrez samarie serez temoins
Esaie 40:3;SKN;53-0509;12;4;chemin desert leternel voix
Exode 13:21;SKN;53-0509;12;7;allait chemin colonne eclairer leternel nuee nuit
Matthieu 3:16;SKN;53-0510;2;4;ayant descendre leau vit
Psaumes 103:3;SKN;53-0511;26;4;guerit iniquites pardonne tes
Galates 3:29;SKN;53-0512;12;4;dabraham heritiers selon semence
Jean 3:14;SKN;53-0513;12;4;desert eleva eleve serpent
Esaie 53:5;SKN;53-0513;17;4;blesse gueris iniquites meurtrissures
Jean 3:14;SKN;53-0513;25;4;desert eleva eleve serpent
Matthieu 24:24;SKN;53-0531;30;4;grands possible prodiges signes
Matthieu 24:24;SKN;53-0602;5;4;grands possible prodiges signes
Actes 1:8;SKN;53-0602;5;4;bout samarie serez venant
Hebreux 3:1;SKN;53-0602;5;5;celeste confession sacrificateur saints souverain
Matthieu 1:18;SKN;53-0602;5;4;ensemble etant naissance soient
1 Timothee 3:16;SKN;53-0602;5;4;cru eleve manifeste nations
Apocalypse 17:8;SKN;53-0602;5;4;ecrits monter voyant vue
Nombres 12:6;SKN;53-0602;5;5;connaitre ferai paroles songe vision
Matthieu 10:1;SKN;53-0602;5;5;autorite douze esprits guerir maladie
Genese 3:16;SKN;53-0602;5;4;grandes mari tes tourne
Esaie 40:3;SKN;53-0602;5;4;chemin crie desert voix
Apocalypse 17:17;SKN;53-0602;5;5;accomplies curs paroles royaume soient
Apocalypse 17:3;SKN;53-0602;5;4;assise desert pleine sept
Apocalypse 1:1;SKN;53-0602;5;5;ange arriver doivent montrer revelation
Actes 20:24;SKN;53-0602;5;4;aucun cas precieuse service
Luc 1:17;SKN;53-0602;5;4;curs ira justes retourner
Hebreux 4:14;SKN;53-0602;5;4;cieux confession sacrificateur souverain
Exode 13:21;SKN;53-0603;2;7;allait chemin colonne eclairer leternel nuee nuit
Apocalypse 1:1;SKN;53-0603;9;4;ange arriver bientot doivent
Malachie 3:1;SKN;53-0603;10;4;chemin jenvoie lalliance lange
Esaie 61:1;SKN;53-0603;46;4;apporter bonnes envoye nouvelles
Genese 3:1;SKN;53-0606;13;5;animal jardin leternel ruse serpent
