ref;traduction;code;paragraphe;nb_mots;mots
Luc 24:19;SKN;51-0415E;24;2;puissant uvre
Luc 2:10;SKN;51-0501;17;2;nayez peur
Luc 24:21;SKN;51-0501;29;2;delivrer israel
Luc 24:9;SKN;51-0501;34;2;laissant sen
Luc 2:4;SKN;51-0501;40;2;galilee judee
Luc 2:39;SKN;51-0501;40;2;galilee selon
Luc 17:15;SKN;51-0501;40;2;haute voix
Luc 24:17;SKN;51-0501;44;2;quels tenez
Luc 2:10;SKN;51-0501;61;2;nayez peur
Luc 2:4;SKN;51-0501;63;2;appelee nazareth
Luc 2:10;SKN;51-0501;72;2;nayez peur
Luc 24:5;SKN;51-0502;6;2;dirent visage
Luc 24:28;SKN;51-0502;9;2;allaient allait
Luc 1:80;SKN;51-0502;18;2;fut lenfant
Luc 24:6;SKN;51-0502;18;2;parla ressuscite
Luc 17:7;SKN;51-0502;20;2;dentre revient
Luc 21:24;SKN;51-0502;20;2;jerusalem menes
Luc 17:29;SKN;51-0502;23;2;fit sortit
Luc 17:20;SKN;51-0502;24;2;attirer lattention
Luc 18:7;SKN;51-0502;24;2;crient nuit
Luc 17:20;SKN;51-0502;28;2;lattention royaume
Luc 18:7;SKN;51-0502;29;2;crient nuit
Luc 7:27;SKN;51-0502;33;2;chemin jenvoie
Luc 24:44;SKN;51-0502;37;2;accomplies soient
Luc 10:16;SKN;51-0502;42;2;envoye rejette
Luc 7:39;SKN;51-0502;43;2;touche voyant
Luc 7:38;SKN;51-0502;44;2;cheveux mit
Luc 7:39;SKN;51-0502;65;2;touche voyant
Luc 2:39;SKN;51-0503;22;2;nazareth selon
Luc 7:7;SKN;51-0503;22;2;digne serviteur
Luc 2:22;SKN;51-0503;28;2;accomplis selon
Luc 2:29;SKN;51-0503;28;2;laisses selon
Luc 17:7;SKN;51-0503;48;2;dise suite
Luc 18:41;SKN;51-0503;49;2;recouvre vue
Luc 18:42;SKN;51-0503;49;2;recouvre vue
Luc 18:41;SKN;51-0503;50;2;recouvre vue
Luc 18:42;SKN;51-0503;50;2;recouvre vue
Luc 10:9;SKN;51-0503;52;2;guerissez seront
Luc 18:42;SKN;51-0503;55;2;gueri recouvre
Luc 24:17;SKN;51-0503;55;2;marchant tenez
Luc 24:46;SKN;51-0505;3;2;dentre troisieme
Luc 24:28;SKN;51-0505;13;2;allaient loin
Luc 24:28;SKN;51-0505;24;2;allaient loin
Luc 17:15;SKN;51-0505;25;2;haute voix
Luc 2:34;SKN;51-0505;27;2;chute israel
Luc 18:41;SKN;51-0505;32;2;recouvre vue
Luc 18:42;SKN;51-0505;32;2;recouvre vue
Luc 17:7;SKN;51-0505;58;2;avance mets
Luc 18:41;SKN;51-0505;67;2;recouvre vue
Luc 18:42;SKN;51-0505;67;2;recouvre vue
Luc 2:10;SKN;51-0505;71;2;nayez peur
Luc 24:17;SKN;51-0505;91;2;marchant tenez
Luc 24:17;SKN;51-0506A;7;2;marchant tenez
Luc 11:32;SKN;51-0506A;10;2;jonas ninive
Luc 24:28;SKN;51-0506A;11;2;allaient loin
Luc 24:13;SKN;51-0506A;22;2;jerusalem stades
Luc 24:44;SKN;51-0506A;23;2;ecrites paroles
Luc 19:2;SKN;51-0506A;25;2;appele riche
Luc 1:80;SKN;51-0506A;45;2;jusquau lenfant
Luc 2:4;SKN;51-0506A;46;2;famille nazareth
Luc 7:7;SKN;51-0506A;48;2;digne gueri
Luc 2:4;SKN;51-0506A;49;2;appelee judee
Luc 16:22;SKN;51-0506A;53;2;anges enseveli
Luc 2:39;SKN;51-0506E;3;2;accompli galilee
