ref;traduction;code;paragraphe;statut;note
Apocalypse 12:0;SKN;59-0823;126;VALIDE;chap->v.11: eux lont cause sang lagneau cause parole temoignage
Galates 1:8;SKN;59-0823;126;VALIDE;memes ange venu ciel avons quil soit anatheme
Matthieu 1:0;SKN;59-0823;126;VALIDE;chap->v.18: naissance jesus christ arriva ainsi mere marie fiancee
Matthieu 11:0;SKN;59-0823;59;VALIDE;chap->v.27: mont pere fils nest pere pere nest fils
Matthieu 28:19;SKN;59-0823;126;VALIDE;allez faites disciples nations baptisant nom pere fils
Romains 3:0;SKN;59-0823;34;VALIDE;chap->v.4: dieu soit vrai homme menteur selon ecrit sorte
Romains 3:4;SKN;59-0823;64;VALIDE;dieu soit vrai ecrit
1 Corinthiens 12:0;SKN;59-1125;48;VALIDE;chap->v.13: avons baptises seul esprit seul corps soit juifs
Jean 14:0;SKN;59-1125;52;VALIDE;chap->v.10: moi suis pere pere moi paroles moi dis
Jean 19:5;SKN;59-1125;54;PARTIEL;commencé, pas achevé — jesus vetement
1 Corinthiens 12:0;SKN;59-1216;131;VALIDE;chap->v.13: avons baptises dun seul esprit seul corps soit
1 Jean 2:0;SKN;59-1216;60;VALIDE;chap->v.1: mes enfants ecris choses afin pechiez quelquun peche
1 Jean 2:1;SKN;59-1216;60;EXACT;mes enfants ecris choses afin pechiez quelquun peche [couverture 13/14]
1 Jean 2:12;SKN;59-1216;60;EXACT;ecris enfants parce vos peches [couverture 5/7]
jean 16:7;SKN;59-1216;59;CORRIGE;annoncé 1 Jean 16:7
Actes 1:8;SKN;59-1216;101;EXACT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 11/14]
Actes 2:0;SKN;59-1216;97;VALIDE;chap->v.17: derniers jours dieu repandrai esprit chair vos fils
Actes 8:14;SKN;59-1216;124;VALIDE;etaient jerusalem ayant avait recu parole dieu pierre
Apocalypse 11:0;SKN;59-1216;93;VALIDE;chap->v.11: apres jours lesprit vie dieu eux pieds
Ephesiens 4:30;SKN;59-1216;45;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9]
Ephesiens 4:30;SKN;59-1216;46;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9]
Esaie 28:0;SKN;59-1216;67;VALIDE;chap->v.8: tables pleines sales quil place
Galates 1:8;SKN;59-1216;131;VALIDE;ange venu ciel avons quil soit anatheme
Galates 3:29;SKN;59-1216;40;EXACT;etes christ dabraham heritiers selon promesse [couverture 7/8]
Hebreux 4:0;SKN;59-1216;95;VALIDE;chap->v.10: celui repos lui sest repose dieu sest repose
Jean 14:0;SKN;59-1216;52;VALIDE;chap->v.10: moi suis moi moi dis dis moi meme
Jean 14:0;SKN;59-1216;56;VALIDE;chap->v.17: lesprit verite monde recevoir parce quil voit connait
Jean 16:7;SKN;59-1216;59;EXACT;dis verite avantageux moi men aille vais consolateur [couverture 13/14]
Joel 2:28;SKN;59-1216;96;EXACT;apres cela repandrai esprit chair vos fils filles [couverture 12/14]
Luc 24:49;SKN;59-1216;98;VALIDE;voici pere ville jusqua soyez revetus puissance den
Romains 4:0;SKN;59-1216;41;VALIDE;chap->v.11: signe circoncision foi avait quil soit etant
1 Corinthiens 12:0;SKN;60-0911E;141;VALIDE;chap->v.3: pourquoi parlant dieu jesus jesus
Actes 1:0;SKN;60-0911E;77;VALIDE;chap->v.3: apres lui vivant etant jours
Actes 1:8;SKN;60-0911E;72;EXACT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 10/14]
Actes 1:8;SKN;60-0911E;73;EXACT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 10/14]
Actes 1:8;SKN;60-0911E;80;VALIDE;saint serez mes temoins
Actes 5:32;SKN;60-0911E;89;EXACT;lui sommes temoins choses ainsi saint dieu donne [couverture 10/12]
Actes 7:38;SKN;60-0911E;31;PARTIEL;commencé, pas achevé — lui nos
Actes 19:0;SKN;60-0911E;139;VALIDE;chap->v.2: avez recu saint cru lui saint
Apocalypse 13:0;SKN;60-0911E;49;VALIDE;chap->v.1: vis mer bete avait dix cornes sept tetes
Apocalypse 13:0;SKN;60-0911E;50;VALIDE;chap->v.1: vis mer bete avait dix cornes sept tetes
Apocalypse 17:0;SKN;60-0911E;41;VALIDE;chap->v.1: sept anges avaient sept coupes vint disant viens
Colossiens 1:0;SKN;60-0911E;78;VALIDE;chap->v.18: corps lui commencement premier morts afin choses lui
Colossiens 1:17;SKN;60-0911E;78;EXACT;lui avant choses subsistent [couverture 6/6]
colossiens 3:11;SKN;60-0911E;155;CORRIGE;annoncé Colossiens 3:26
Ephesiens 1:0;SKN;60-0911E;74;VALIDE;chap->v.1: jesus christ dieu christ jesus
Ephesiens 1:22;SKN;60-0911E;74;VALIDE;pieds donne chef
Ephesiens 4:30;SKN;60-0911E;137;EXACT;saint dieu lequel avez scelles jour redemption [couverture 7/9]
Ephesiens 5:25;SKN;60-0911E;158;PARTIEL;commencé, pas achevé — christ
Galates 3:26;SKN;60-0911E;155;EXACT;etes fils dieu foi christ jesus [couverture 6/6]
Hebreux 11:0;SKN;60-0911E;61;VALIDE;chap->v.4: foi offrit dieu sacrifice sacrifice juste dieu
Hebreux 12:13;SKN;60-0911E;159;PARTIEL;commencé, pas achevé — afin plutot
Hebreux 13:8;SKN;60-0911E;89;VALIDE;jesus meme hier
Hebreux 13:12;SKN;60-0911E;157;EXACT;jesus afin sanctifie peuple propre sang souffert hors [couverture 9/12]
Jean 3:5;SKN;60-0911E;163;EXACT;jesus verite entrer royaume dieu [couverture 6/12]
Jean 14:0;SKN;60-0911E;90;VALIDE;chap->v.12: verite verite dis celui croit moi fera lui
Jean 14:12;SKN;60-0911E;90;EXACT;verite dis celui croit moi fera lui fais [couverture 12/14]
Luc 24:0;SKN;60-0911E;86;VALIDE;chap->v.46: ainsi ecrit ainsi christ ressuscite morts troisieme jour
Luc 24:26;SKN;60-0911E;86;PARTIEL;commencé, pas achevé — christ choses
Luc 24:29;SKN;60-0911E;118;PARTIEL;commencé, pas achevé — rester
Luc 24:49;SKN;60-0911E;71;EXACT;voici pere ville soyez revetus puissance haut [couverture 7/13]
Marc 16:0;SKN;60-0911E;92;VALIDE;chap->v.14: apparut onze etaient table reprocha incredulite durete parce
Marc 16:0;SKN;60-0911E;117;VALIDE;chap->v.16: celui aura cru aura baptise sera celui cru
Matthieu 10:0;SKN;60-0911E;111;VALIDE;chap->v.1: douze disciples donna esprits chasser guerir maladie
Matthieu 10:1;SKN;60-0911E;105;PARTIEL;commencé, pas achevé — disciples chasser
Matthieu 10:1;SKN;60-0911E;111;VALIDE;douze disciples donna esprits chasser guerir maladie
Matthieu 16:0;SKN;60-0911E;75;VALIDE;chap->v.28: verite dis quelques ceux ici
Matthieu 16:18;SKN;60-0911E;10;VALIDE;dis pierre roc batirai portes prevaudront contre
Matthieu 16:18;SKN;60-0911E;72;VALIDE;roc batirai portes contre
Matthieu 28:20;SKN;60-0911E;88;VALIDE;choses voici moi suis
1 Corinthiens 12:0;SKN;61-0118;69;VALIDE;chap->v.15: disait parce main corps qua cela nest corps
actes 10:48;SKN;61-0118;60;CORRIGE;annoncé Actes 10:49
Apocalypse 11:0;SKN;61-0118;66;VALIDE;chap->v.5: quelquun veut feu sort quelquun veut quil
Esaie 9:0;SKN;61-0118;29;VALIDE;chap->v.6: enfant donne sera nom conseiller dieu pere
Hebreux 13:8;SKN;61-0118;25;VALIDE;jesus meme hier aujourdhui eternellement
Jean 4:0;SKN;61-0118;86;VALIDE;chap->v.25: femme lui sais messie christ vient sera venu
Jean 5:0;SKN;61-0118;55;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme
Jean 5:19;SKN;61-0118;55;EXACT;jesus verite dis fils rien lui meme quil [couverture 5/14]
Jean 6:0;SKN;61-0118;57;VALIDE;chap->v.57: pere envoye moi vis cause pere meme celui
Jean 14:12;SKN;61-0118;27;VALIDE;dis celui croit moi fera lui fais
Marc 16:0;SKN;61-0118;97;VALIDE;chap->v.16: celui cru sera celui cru sera
1 Corinthiens 12:0;SKN;61-0414;12;VALIDE;chap->v.12: meme corps quil corps soient seul corps ainsi
1 Timothee 3:16;SKN;61-0414;70;EXACT;contredit mystere piete grand dieu manifeste chair esprit [couverture 8/14]
Actes 4:0;SKN;61-0414;31;VALIDE;chap->v.19: pierre jean sil juste devant dieu ecouter plutot
Jean 5:19;SKN;61-0414;5;EXACT;jesus verite dis fils rien lui meme quil [couverture 5/14]
Jean 14:7;SKN;61-0414;68;PARTIEL;commencé, pas achevé — pere maintenant
Matthieu 12:0;SKN;61-0414;6;VALIDE;chap->v.31: cest dis peche sera hommes lesprit sera hommes
1 Corinthiens 12:0;SKN;61-0515;6;VALIDE;chap->v.15: disait parce suis main suis corps qua cela
Apocalypse 1:0;SKN;61-0515;89;VALIDE;chap->v.8: moi suis lalpha lomega seigneur dieu celui etait
