ref;traduction;code;paragraphe;statut;raison
Esther 12:0;SKN;62-0610M;108;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Job 136:0;SKN;63-0421;116;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;65-0221M;35;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 28:18;VGR;60-0626;220;REJETE;passage absent, idée absente
Apocalypse 4:0;VGR;61-0108;50;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 11:13;VGR;61-0108;252;REJETE;passage absent, idée absente
Ezechiel 1:8;VGR;61-0108;253;REJETE;passage absent, idée absente
Jude 8:0;VGR;62-0318M;403;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Actes 19:11;VGR;62-1014M;194;REJETE;passage absent, idée absente
Jean 23:0;VGR;62-1014M;377;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 8:23;VGR;63-0318;354;REJETE;passage absent, idée absente
Malachie 4:0;VGR;63-0318;210;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;63-0321;275;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Genese 23:0;VGR;65-0219;189;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Job 14:0;VGR;65-0221M;215;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0221M;49;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-1125;202;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-1125;308;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 12:0;SKN;61-0205M;57;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jean 26:0;SKN;62-0601;127;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;63-0116;189;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;63-0116;251;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Proverbes 5:3;SKN;62-0211;69;REJETE;passage absent, idée absente
Esther 16:13;SKN;60-1210;137;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Esther 10:0;SKN;62-0724;92;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Habacuc 2:0;SKN;64-0830M;195;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Romains 26:0;VGR;64-0823M;188;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Marc 16:1;SKN;65-0418M;36;REJETE;passage absent, idée absente
Malachie 4:0;VGR;65-0418M;243;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0801M;36;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 85:0;VGR;61-0806;12;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 87:0;VGR;61-0806;23;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 89:0;VGR;61-0806;32;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 91:0;VGR;61-0806;41;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 93:0;VGR;61-0806;52;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 95:0;VGR;61-0806;61;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 97:0;VGR;61-0806;70;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 99:0;VGR;61-0806;79;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 101:0;VGR;61-0806;89;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 103:0;VGR;61-0806;100;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 105:0;VGR;61-0806;109;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 107:0;VGR;61-0806;116;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 109:0;VGR;61-0806;126;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 111:0;VGR;61-0806;136;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 113:0;VGR;61-0806;144;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 115:0;VGR;61-0806;151;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 117:0;VGR;61-0806;163;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 119:0;VGR;61-0806;171;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 121:0;VGR;61-0806;180;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 123:0;VGR;61-0806;189;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 125:0;VGR;61-0806;196;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 127:0;VGR;61-0806;203;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 129:0;VGR;61-0806;214;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 131:0;VGR;61-0806;221;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 133:0;VGR;61-0806;227;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jacques 5:14;SKN;53-0729;263;REJETE;passage absent, idée absente
